"","LSOA code","LSOA name","LAD code","LAD name","ITL1 code","ITL1 name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","GEOGRAPHY_NAME","OBS_VALUE"
"43","E01011994","Hartlepool 002F","E06000001","Hartlepool","TLC","North East (England)",24.9404913,28.38811055,26.74429629,28.79456479,32.69334913,35.9818433,40.13619293,38.70572669,42.14020372,43.22556409,38.13335881,33.45389971,45.65900909,36.72030574,36.94044226,34.66774699,38.71607495,45.65582859,57.34969446,62.10928885,62.41605973,56.66851172,57.35864305,"Hartlepool 002F",798
"44","E01011995","Hartlepool 011A","E06000001","Hartlepool","TLC","North East (England)",3.031948318,3.170300751,3.225903038,3.236898086,3.179125219,3.045973632,2.631958064,3.035247331,3.575384597,3.961235592,4.253075553,3.804346311,3.805348051,3.865959054,3.711095301,4.688591472,5.000692163,4.538276351,4.18073438,4.248340208,4.028243252,3.972616689,3.775365578,"Hartlepool 011A",122
"45","E01011996","Hartlepool 011B","E06000001","Hartlepool","TLC","North East (England)",4.864660694,4.813522997,5.027446427,5.176856433,5.411352445,5.62025369,5.741041626,6.311609403,7.415460428,7.890521889,7.829135423,7.479363667,7.726566486,7.97240636,7.251507424,6.512100638,6.228198501,5.979136519,6.142061721,5.540023747,5.736557597,6.317200526,6.389445214,"Hartlepool 011B",342
"46","E01011997","Hartlepool 011C","E06000001","Hartlepool","TLC","North East (England)",9.51845899,9.83838607,9.82765595,10.27046572,10.57602651,11.38003401,11.85474145,12.85535971,13.98373733,14.0855684,14.66034592,14.15689922,14.10596028,13.80735327,13.92038569,17.74571787,20.43927206,19.24764745,19.38858185,21.54762416,25.01558912,24.79966797,24.28020676,"Hartlepool 011C",604
"47","E01011998","Hartlepool 011D","E06000001","Hartlepool","TLC","North East (England)",94.59543545,91.72391057,92.35291875,81.25626337,86.6327079,92.6708174,93.03068782,97.71630203,106.1230218,117.2135094,120.8966642,132.5338329,122.3378177,111.2438082,106.7104674,107.8649658,107.3214302,151.9243193,233.177788,274.2928108,261.6080502,331.7498318,359.8078735,"Hartlepool 011D",2820
"48","E01011999","Hartlepool 007D","E06000001","Hartlepool","TLC","North East (England)",96.33812382,102.0154428,96.61309017,87.8917631,91.78634359,96.31825439,107.266731,111.6055058,125.5993674,125.9992156,129.5786214,136.2461585,137.451265,139.0619418,147.1146179,152.2421183,152.3640553,162.4114457,163.713942,144.458755,130.008647,132.7559317,118.795378,"Hartlepool 007D",4481
"49","E01012000","Hartlepool 007E","E06000001","Hartlepool","TLC","North East (England)",35.05128124,36.95632212,38.54653354,41.15892609,42.56845028,47.03115251,52.19638239,56.35548687,58.51452726,61.69318096,63.76244889,66.33692655,68.35661679,71.2642925,66.66290377,65.34941083,69.67353477,61.60774259,43.93992566,46.97513577,51.9907456,53.3082254,55.80261066,"Hartlepool 007E",2238
"50","E01012001","Hartlepool 008D","E06000001","Hartlepool","TLC","North East (England)",31.40647007,29.72489972,29.65679584,28.79592502,30.07241054,35.40360571,37.69008895,40.31867941,44.44197041,42.71545272,42.18624303,38.54937091,39.61039165,40.97390433,37.22715485,49.29887477,50.64529329,58.13482912,58.05377523,62.29227523,75.83317575,70.85228688,66.29409151,"Hartlepool 008D",1156
"51","E01012002","Hartlepool 006D","E06000001","Hartlepool","TLC","North East (England)",4.565559333,4.956223936,5.101777315,5.339525034,5.552640977,5.538222139,5.539353483,6.018155577,6.319761902,6.839074695,7.145777985,7.103878773,7.074442033,7.177170162,7.260840939,9.846772181,10.050325,8.284221988,8.05040008,6.127276689,6.26754584,6.505004029,6.70637776,"Hartlepool 006D",213
"52","E01012003","Hartlepool 014F","E06000001","Hartlepool","TLC","North East (England)",4.072000136,4.314821293,4.350054268,4.320076551,4.335592856,4.046447908,3.714547561,4.135090158,4.501947509,4.988350558,5.422818087,4.941805673,4.84971086,5.202812914,5.112158203,4.472629219,5.378911197,5.79728485,5.163556978,6.298602873,8.128868331,6.629098709,5.234267832,"Hartlepool 014F",225
"53","E01012005","Hartlepool 014G","E06000001","Hartlepool","TLC","North East (England)",4.498750786,4.726883359,4.823086776,4.784237587,4.669649436,4.452705407,3.803270587,4.330528186,4.927811299,5.511644212,5.96144511,5.389114103,5.287878013,5.446621646,5.411677536,5.440975677,5.422127382,5.340271704,5.422684373,5.178878123,6.030392087,5.952372389,5.79414515,"Hartlepool 014G",186
